season,matchday,home team,away team,home attendance,away attendance,total attendance,winning team
2016-2017,21,maccabi tel aviv,hapoel beer sheva,11110,1240,12350,H
2016-2017,21,ashdod fc,hapoel raanana,1300,17,1317,A
2016-2017,21,hapoel kfar sava,hapoel tel aviv,1277,1861,3138,D
2016-2017,21,hapoel ashqelon,maccabi haifa,2350,2000,4350,A
2016-2017,22,maccabi haifa,hapoel haifa,26600,1100,27700,A
2016-2017,22,ironi kiryat shmona,bnei yehuda tel aviv,700,170,870,A
2016-2017,22,hapoel beer sheva,hapoel ashqelon,14550,150,14700,H
2016-2017,22,hapoel raanana,beitar jerusalem,1150,2750,3900,A
2016-2017,22,bnei sakhnin,hapoel kfar sava,2700,30,2730,H
2016-2017,22,hapoel tel aviv,ashdod fc,4507,100,4607,H
2016-2017,22,maccabi petah tikva,maccabi tel aviv,1600,5900,7500,A
2016-2017,23,hapoel kfar sava,maccabi haifa,1800,2600,4400,A
2016-2017,23,bnei yehuda tel aviv,hapoel raanana,4120,80,4200,A
2016-2017,23,ashdod fc,bnei sakhnin,725,282,1007,D
2016-2017,23,maccabi tel aviv,ironi kiryat shmona,10730,170,10900,H
2016-2017,23,hapoel ashqelon,maccabi petah tikva,1266,90,1356,A
2016-2017,23,hapoel haifa,hapoel beer sheva,3350,1050,4400,D
2016-2017,23,hapoel tel aviv,beitar jerusalem,7319,892,8211,A
2016-2017,24,hapoel tel aviv,hapoel raanana,6880,120,7000,D
2016-2017,24,hapoel ashqelon,ironi kiryat shmona,690,60,750,D
2016-2017,24,maccabi haifa,ashdod fc,16094,60,16154,A
2016-2017,24,maccabi tel aviv,bnei yehuda tel aviv,10629,400,11029,H
2016-2017,24,maccabi petah tikva,hapoel haifa,1400,300,1700,H
2016-2017,24,bnei sakhnin,beitar jerusalem,7480,0,7480,A
2016-2017,24,hapoel beer sheva,hapoel kfar sava,13500,150,13650,H
2016-2017,25,hapoel haifa,ironi kiryat shmona,2016,120,2136,A
2016-2017,25,hapoel raanana,bnei sakhnin,500,500,1000,A
2016-2017,25,hapoel tel aviv,bnei yehuda tel aviv,6900,1090,7990,A
2016-2017,25,ashdod fc,hapoel beer sheva,1200,4000,5200,A
2016-2017,25,hapoel kfar sava,maccabi petah tikva,1000,200,1200,A
2016-2017,25,hapoel ashqelon,maccabi tel aviv,3100,2000,5100,A
2016-2017,25,beitar jerusalem,maccabi haifa,11259,2483,13742,A
2016-2017,26,maccabi petah tikva,ashdod fc,2200,30,2230,A
2016-2017,26,ironi kiryat shmona,hapoel kfar sava,1800,50,1850,A
2016-2017,26,bnei sakhnin,hapoel tel aviv,3750,750,4500,D
2016-2017,26,maccabi haifa,hapoel raanana,18570,60,18630,H
2016-2017,26,bnei yehuda tel aviv,hapoel ashqelon,2000,200,2200,D
2016-2017,26,maccabi tel aviv,hapoel haifa,9320,180,9500,H
2016-2017,26,hapoel beer sheva,beitar jerusalem,13600,1600,15200,H
2016-2017,27,ironi kiryat shmona,hapoel tel aviv,550,950,1500,A
2016-2017,27,hapoel haifa,hapoel ashqelon,1425,75,1500,A
2016-2017,27,maccabi tel aviv,bnei sakhnin,9991,500,10491,H
2016-2017,27,maccabi petah tikva,beitar jerusalem,1200,3000,4200,A
2016-2017,27,hapoel raanana,bnei yehuda tel aviv,250,320,570,A
2016-2017,27,hapoel beer sheva,maccabi haifa,13800,1700,15500,H
2016-2017,27,ashdod fc,hapoel kfar sava,1100,200,1300,D
2016-2017,28,ironi kiryat shmona,hapoel haifa,0,0,0,A
2016-2017,28,hapoel beer sheva,maccabi tel aviv,0,0,0,H
2016-2017,28,maccabi haifa,beitar jerusalem,0,0,0,H
2016-2017,28,bnei sakhnin,maccabi petah tikva,0,0,0,H
2016-2017,28,hapoel ashqelon,ashdod fc,0,0,0,D
2016-2017,28,hapoel tel aviv,bnei yehuda tel aviv,0,0,0,H
2016-2017,28,hapoel kfar sava,hapoel raanana,0,0,0,A
2016-2017,29,hapoel haifa,hapoel tel aviv,2800,3900,6700,D
2016-2017,29,hapoel raanana,hapoel ashqelon,360,160,520,A
2016-2017,29,bnei yehuda tel aviv,hapoel kfar sava,2350,300,2650,H
2016-2017,29,beitar jerusalem,bnei sakhnin,3500,20,3520,H
2016-2017,29,ashdod fc,ironi kiryat shmona,440,10,450,D
2016-2017,29,maccabi petah tikva,hapoel beer sheva,1800,7500,9300,A
2016-2017,29,maccabi tel aviv,maccabi haifa,10529,1240,11769,H
2016-2017,30,hapoel haifa,ashdod fc,0,0,0,D
2016-2017,30,maccabi tel aviv,maccabi petah tikva,0,0,0,H
2016-2017,30,hapoel beer sheva,beitar jerusalem,0,0,0,H
2016-2017,30,maccabi haifa,bnei sakhnin,0,0,0,A
2016-2017,30,hapoel tel aviv,hapoel kfar sava,0,0,0,H
2016-2017,30,ironi kiryat shmona,hapoel raanana,0,0,0,A
2016-2017,30,hapoel ashqelon,bnei yehuda tel aviv,0,0,0,H
2016-2017,31,hapoel raanana,hapoel haifa,0,0,0,A
